game_id,review,votes_funny,votes_up,voted_up,is_recommended,playtime_forever,timestamp_created
배틀 그라운드,달달한 스튜어디스 대신에 걸걸한 아조씨들이 기내방송해주는 욕설과 정신병자가 수두룩한 고향길같이 편안한 비행기 여행,294,224,True,Recommended,86734,1511607154
배틀 그라운드,그럴 수 있어. 이런 날도 있는거지 뭐. X 항상 그렇지. 이런 날만 있는데 뭐. O,242,394,True,Recommended,11114,1507172218
배틀 그라운드,하지않을거란 세일은 결국 여름 세일에 무릎 꿇었다.,236,462,True,Recommended,84501,1529451382
배틀 그라운드,서버가 블루홀이 아니고 블랙홀임 시부럴,224,455,False,Not Recommended,19100,1506679155
배틀 그라운드,배틀그라운드를 조금 즐겨봤는데 생각보다 게임이 쉽습니다. 여러분들이 상상한 것보다 쉬울 겁니다. fps게임을 처음 해본 사람과 한참 즐기는 마니아층도 서로 어울리며 웃으며 게임할 수 있는 몇 안되는 청정한 갓겜이군요. 저는 몇 시간 플레이를 안 해봐서 잘 모르겠습니다. 조금만 더 해봐야 알 것 같습니다. 그럼 이만,211,624,True,Recommended,435639,1524569613
배틀 그라운드,초반 슈퍼파밍 끔살 초반 흙수저 인생 탑10,186,597,True,Recommended,53080,1503256616
배틀 그라운드,"너 이게 무슨 뜻이야? 너는 지난번에 천안문도 잊지 않고 민주주의도 반드시 되찾겠다고 말했잖아. 저번에 홍콩 시위를 응원한다고 말했던 건 뭐야? 위구르인들의 독립에 찬성한다니 환영이야. 시진핑 주석의 어머니는 바퀴벌레라고? 위구르족의 독립을 지지하다니 놀라운걸? 동지, 시 주석 암살 모의는 잘 진행되고 있소? 당신을 중국 공안에 신고하겠다.",179,730,True,Recommended,19454,1639659053
배틀 그라운드,흠흠 세일도 안하길래 걍 사서 해봤는데 무슨 시간 역행이랑 렉좀 줄이면 갓겜일듯 싶다 굳굳,160,748,True,Recommended,63898,1498350677
배틀 그라운드,죽은뒤에 아 이렇게하면 산건데,153,334,True,Recommended,62899,1513832766
배틀 그라운드,"얼리억세스 당시 혁명이였다. 배틀로얄 장르의 붐을 가져왔다. 너도나도 구매하며 플레이했다. 고사양의 필요사양은 진입장벽이 안되고 피시방의 기준이 되었다. 정식 발매. 핵은 만연했다. 핵을 잡는다고 했다. 스킨 랜덤박스를 냈다. 카카오배그를 출시한다고 했다. 거기엔 한국인만 있고, 핵도 없다했다. 카카오배그를 샀다. 카카오배그에도 핵이 나타났다. 핵을 잡는다고 했다. 스킨 랜덤박스를 더 출시했다. 왠 다른 게임 배틀로얄이 배그를 역전했다고 했다. 유저수는 계속 줄어서 나누었던 서버를 다시 통합했다. 스킨 랜덤박스를 더 출시했다. 핵이 너무 많아서 핵에 죽은 건지 스트리머를 봐도 이 사람이 핵을 써서 잘하는지 분간하기 힘들고 또 분간하는 자체도 하기싫었다. 그래서 접었다. 그래도 스킨 랜덤박스를 더 출시했다.",144,655,False,Not Recommended,58780,1542703541
